599
Asia/Baghdad, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Asia/Bahrain, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Asia/Baku, offset: +04:00, standardOffset: +04:00, daylightSavings: false
Asia/Bangkok, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Barnaul, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Beirut, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Bishkek, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Brunei, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Calcutta, offset: +05:30, standardOffset: +05:30, daylightSavings: false
Asia/Chita, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Choibalsan, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Chongqing, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Chungking, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Colombo, offset: +05:30, standardOffset: +05:30, daylightSavings: false
Asia/Dacca, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Damascus, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Dhaka, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Dili, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Dubai, offset: +04:00, standardOffset: +04:00, daylightSavings: false
Asia/Dushanbe, offset: +05:00, standardOffset: +05:00, daylightSavings: false
Asia/Famagusta, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Gaza, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Harbin, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Hebron, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Ho_Chi_Minh, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Hong_Kong, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Hovd, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Irkutsk, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Istanbul, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Asia/Jakarta, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Jayapura, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Jerusalem, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Kabul, offset: +04:30, standardOffset: +04:30, daylightSavings: false
Asia/Kamchatka, offset: +12:00, standardOffset: +12:00, daylightSavings: false
Asia/Karachi, offset: +05:00, standardOffset: +05:00, daylightSavings: false
Asia/Kashgar, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Kathmandu, offset: +05:45, standardOffset: +05:45, daylightSavings: false
Asia/Katmandu, offset: +05:45, standardOffset: +05:45, daylightSavings: false
Asia/Khandyga, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Kolkata, offset: +05:30, standardOffset: +05:30, daylightSavings: false
Asia/Krasnoyarsk, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Kuala_Lumpur, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Kuching, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Kuwait, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Asia/Macao, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Macau, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Magadan, offset: +11:00, standardOffset: +11:00, daylightSavings: false
Asia/Makassar, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Manila, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Muscat, offset: +04:00, standardOffset: +04:00, daylightSavings: false
Asia/Nicosia, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Novokuznetsk, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Novosibirsk, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Omsk, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Oral, offset: +05:00, standardOffset: +05:00, daylightSavings: false
Asia/Phnom_Penh, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Pontianak, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Pyongyang, offset: +08:30, standardOffset: +08:30, daylightSavings: false
Asia/Qatar, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Asia/Qyzylorda, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Rangoon, offset: +06:30, standardOffset: +06:30, daylightSavings: false
Asia/Riyadh, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Asia/Saigon, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Sakhalin, offset: +11:00, standardOffset: +11:00, daylightSavings: false
Asia/Samarkand, offset: +05:00, standardOffset: +05:00, daylightSavings: false
Asia/Seoul, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Shanghai, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Singapore, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Srednekolymsk, offset: +11:00, standardOffset: +11:00, daylightSavings: false
Asia/Taipei, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Tashkent, offset: +05:00, standardOffset: +05:00, daylightSavings: false
Asia/Tbilisi, offset: +04:00, standardOffset: +04:00, daylightSavings: false
Asia/Tehran, offset: +04:30, standardOffset: +03:30, daylightSavings: true
Asia/Tel_Aviv, offset: +03:00, standardOffset: +02:00, daylightSavings: true
Asia/Thimbu, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Thimphu, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Tokyo, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Tomsk, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Ujung_Pandang, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Ulaanbaatar, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Ulan_Bator, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Asia/Urumqi, offset: +06:00, standardOffset: +06:00, daylightSavings: false
Asia/Ust-Nera, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Asia/Vientiane, offset: +07:00, standardOffset: +07:00, daylightSavings: false
Asia/Vladivostok, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Asia/Yakutsk, offset: +09:00, standardOffset: +09:00, daylightSavings: false
Asia/Yangon, offset: +06:30, standardOffset: +06:30, daylightSavings: false
Asia/Yekaterinburg, offset: +05:00, standardOffset: +05:00, daylightSavings: false
Asia/Yerevan, offset: +04:00, standardOffset: +04:00, daylightSavings: false
Atlantic/Azores, offset: Z, standardOffset: -01:00, daylightSavings: true
Atlantic/Bermuda, offset: -03:00, standardOffset: -04:00, daylightSavings: true
Atlantic/Canary, offset: +01:00, standardOffset: Z, daylightSavings: true
Atlantic/Cape_Verde, offset: -01:00, standardOffset: -01:00, daylightSavings: false
Atlantic/Faeroe, offset: +01:00, standardOffset: Z, daylightSavings: true
Atlantic/Faroe, offset: +01:00, standardOffset: Z, daylightSavings: true
Atlantic/Jan_Mayen, offset: +02:00, standardOffset: +01:00, daylightSavings: true
Atlantic/Madeira, offset: +01:00, standardOffset: Z, daylightSavings: true
Atlantic/Reykjavik, offset: Z, standardOffset: Z, daylightSavings: false
Atlantic/South_Georgia, offset: -02:00, standardOffset: -02:00, daylightSavings: false
Atlantic/St_Helena, offset: Z, standardOffset: Z, daylightSavings: false
Atlantic/Stanley, offset: -03:00, standardOffset: -03:00, daylightSavings: false
Australia/ACT, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Adelaide, offset: +09:30, standardOffset: +09:30, daylightSavings: false
Australia/Brisbane, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Broken_Hill, offset: +09:30, standardOffset: +09:30, daylightSavings: false
Australia/Canberra, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Currie, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Darwin, offset: +09:30, standardOffset: +09:30, daylightSavings: false
Australia/Eucla, offset: +08:45, standardOffset: +08:45, daylightSavings: false
Australia/Hobart, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/LHI, offset: +10:30, standardOffset: +10:30, daylightSavings: false
Australia/Lindeman, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Lord_Howe, offset: +10:30, standardOffset: +10:30, daylightSavings: false
Australia/Melbourne, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/NSW, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/North, offset: +09:30, standardOffset: +09:30, daylightSavings: false
Australia/Perth, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Australia/Queensland, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/South, offset: +09:30, standardOffset: +09:30, daylightSavings: false
Australia/Sydney, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Tasmania, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/Victoria, offset: +10:00, standardOffset: +10:00, daylightSavings: false
Australia/West, offset: +08:00, standardOffset: +08:00, daylightSavings: false
Australia/Yancowinna, offset: +09:30, standardOffset: +09:30, daylightSavings: false
Brazil/Acre, offset: -05:00, standardOffset: -05:00, daylightSavings: false
Brazil/DeNoronha, offset: -02:00, standardOffset: -02:00, daylightSavings: false
Brazil/East, offset: -03:00, standardOffset: -03:00, daylightSavings: false
Brazil/West, offset: -04:00, standardOffset: -04:00, daylightSavings: false
CET, offset: +02:00, standardOffset: +01:00, daylightSavings: true
CST6CDT, offset: -05:00, standardOffset: -06:00, daylightSavings: true
Canada/Atlantic, offset: -03:00, standardOffset: -04:00, daylightSavings: true
